"時間戳記","你目前 ""會"" 或 ""熟練"" 的軟體有哪些呢?","拋接訂單、求職資訊交換","資源分享","純技術的分享交流","結交繪友","技術教學、課程","提問與解答幫助","其他","R-18","人物角色","動物、生物、怪物","軍武","產品、物品","風景、場景","其他","人體骨架、肌肉...等","立體透視","上色技巧、風格","繪圖軟體","場景構圖","動畫製作","其他","根據特定主題畫出相對應內容","繪圖接龍","挑戰活動 (例: 美少女戰士挑戰)","Meme 梗圖創作","二創","畫出自己的人物設定","繪圖安價","其他"
"2020/05/23 4:49:46 下午 GMT+8","PhotoShop;SAI;Clip Studio","3","3","3","1","3","4","","3","4","4","1","4","4","","5","5","2","3","4","4","","1","2","1","1","1","3","2",""
"2020/05/23 9:40:31 下午 GMT+8","PhotoShop;Krita;MediBang Paint Pro","2","4","5","3","5","4","","5","5","3","5","3","4","","5","5","5","2","4","4","","4","2","4","3","1","5","3",""
"2020/05/23 11:03:47 下午 GMT+8","PhotoShop;Clip Studio;Painter","5","5","5","5","5","5","","3","5","3","5","3","4","","5","4","5","4","4","3","","4","4","4","3","4","4","3",""
"2020/05/23 11:03:54 下午 GMT+8","SAI;Clip Studio;MediBang Paint Pro","4","5","5","5","5","5","希望能夠學習ai跟ps,也想要更精進sai,csp","3","5","5","4","5","5","透視好難","5","5","5","5","5","5","很多東西想學呢","5","5","5","5","5","5","5","台灣很少平台有這樣的活動，想多參加"
"2020/05/23 11:18:56 下午 GMT+8","PhotoShop;SAI","5","4","4","4","4","4","","3","4","4","4","3","5","","4","4","5","3","5","2","","4","2","2","2","2","4","2",""
"2020/05/23 11:34:35 下午 GMT+8","PhotoShop;Clip Studio","5","4","5","5","4","3","","5","5","5","3","4","5","","4","3","5","2","5","4","","5","5","5","3","3","4","4",""
"2020/05/24 1:41:34 上午 GMT+8","PhotoShop;SAI;Clip Studio;3DMAX","5","5","4","4","5","5","","5","5","3","4","4","3","","4","4","4","3","4","1","","4","4","3","5","5","5","3",""
"2020/05/24 9:41:33 上午 GMT+8","PhotoShop;Clip Studio","2","4","4","4","3","4","","5","4","4","4","3","4","科幻、幻想的場景與人物組合的畫面","4","4","4","2","4","3","工作流程怎樣有效率、怎樣能讓自己覺得有趣才一直想畫下去","4","3","4","4","4","3","3",""
"2020/05/24 1:15:59 下午 GMT+8","PhotoShop;SAI","5","5","5","5","5","3","","5","5","5","4","3","3","","3","3","5","1","3","5","","1","1","1","1","1","5","2",""
"2020/05/25 6:18:51 下午 GMT+8","PhotoShop;SAI","3","5","5","3","5","4","","4","4","5","4","5","4","","5","4","5","4","5","5","","5","4","4","4","4","4","4",""
"2020/05/26 1:27:12 上午 GMT+8","PhotoShop;SAI;Krita;MediBang Paint Pro","4","5","5","5","5","5","","2","5","3","1","4","3","","4","4","5","4","4","4","","5","5","5","4","5","5","5",""
"2020/05/27 7:49:15 下午 GMT+8","SAI;Clip Studio","4","3","3","4","3","3","","4","4","4","3","3","4","","3","3","3","3","3","4","","4","4","4","4","4","4","3",""
"2020/05/29 7:20:33 下午 GMT+8","PhotoShop","5","5","5","5","5","5","","5","5","5","5","5","5","","4","5","5","5","5","5","","5","3","3","3","3","5","5",""